SalesOrderNumber;OrderDate;ProductKey;ResellerKey;EmployeeKey;OrderQuantity;UnitPrice;SalesAmount;ResellerName;NumberEmployees;AnnualRevenue;YearOpened;City;StateProvinceName;EnglishCountryRegionName;EnglishProductName;EnglishProductSubcategoryName;EnglishProductCategoryName
SO43659;2010-12-29 00:00:00.000;349;676;285;1;2024,994;2024,994;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Black, 42;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;350;676;285;3;2024,994;6074,982;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Black, 44;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;351;676;285;1;2024,994;2024,994;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Black, 48;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;344;676;285;1;2039,994;2039,994;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Silver, 38;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;345;676;285;1;2039,994;2039,994;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Silver, 42;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;346;676;285;2;2039,994;4079,988;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Silver, 44;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;347;676;285;1;2039,994;2039,994;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain-100 Silver, 48;Mountain Bikes;Bikes
SO43659;2010-12-29 00:00:00.000;229;676;285;3;28,8404;86,5212;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Long-Sleeve Logo Jersey, M;Jerseys;Clothing
SO43659;2010-12-29 00:00:00.000;235;676;285;1;28,8404;28,8404;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Long-Sleeve Logo Jersey, XL;Jerseys;Clothing
SO43659;2010-12-29 00:00:00.000;218;676;285;6;5,70;34,20;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Mountain Bike Socks, M;Socks;Clothing
SO43659;2010-12-29 00:00:00.000;223;676;285;2;5,1865;10,373;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;AWC Logo Cap;Caps;Clothing
SO43659;2010-12-29 00:00:00.000;220;676;285;4;20,1865;80,746;Better Bike Shop;19;80000,00;1979;Austell;Georgia;United States;Sport-100 Helmet, Blue;Helmets;Accessories
SO43660;2010-12-29 00:00:00.000;326;117;285;1;419,4589;419,4589;Pedals Warehouse;16;80000,00;1988;Suwanee;Georgia;United States;Road-650 Red, 44;Road Bikes;Bikes
SO43660;2010-12-29 00:00:00.000;319;117;285;1;874,794;874,794;Pedals Warehouse;16;80000,00;1988;Suwanee;Georgia;United States;Road-450 Red, 52;Road Bikes;Bikes
SO43661;2010-12-29 00:00:00.000;300;442;288;1;809,76;809,76;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;HL Mountain Frame - Black, 48;Mountain Frames;Components
SO43661;2010-12-29 00:00:00.000;296;442;288;1;714,7043;714,7043;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;HL Mountain Frame - Black, 42;Mountain Frames;Components
SO43661;2010-12-29 00:00:00.000;304;442;288;2;714,7043;1429,4086;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;HL Mountain Frame - Black, 38;Mountain Frames;Components
SO43661;2010-12-29 00:00:00.000;223;442;288;4;5,1865;20,746;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;AWC Logo Cap;Caps;Clothing
SO43661;2010-12-29 00:00:00.000;232;442;288;4;28,8404;115,3616;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Long-Sleeve Logo Jersey, L;Jerseys;Clothing
SO43661;2010-12-29 00:00:00.000;293;442;288;2;722,5949;1445,1898;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;HL Mountain Frame - Silver, 46;Mountain Frames;Components
SO43661;2010-12-29 00:00:00.000;348;442;288;3;2024,994;6074,982;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Mountain-100 Black, 38;Mountain Bikes;Bikes
SO43661;2010-12-29 00:00:00.000;351;442;288;2;2024,994;4049,988;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Mountain-100 Black, 48;Mountain Bikes;Bikes
SO43661;2010-12-29 00:00:00.000;220;442;288;2;20,1865;40,373;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Sport-100 Helmet, Blue;Helmets;Accessories
SO43661;2010-12-29 00:00:00.000;292;442;288;2;818,70;1637,40;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;HL Mountain Frame - Silver, 48;Mountain Frames;Components
SO43661;2010-12-29 00:00:00.000;349;442;288;4;2024,994;8099,976;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Mountain-100 Black, 42;Mountain Bikes;Bikes
SO43661;2010-12-29 00:00:00.000;346;442;288;2;2039,994;4079,988;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Mountain-100 Silver, 44;Mountain Bikes;Bikes
SO43661;2010-12-29 00:00:00.000;235;442;288;2;28,8404;57,6808;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Long-Sleeve Logo Jersey, XL;Jerseys;Clothing
SO43661;2010-12-29 00:00:00.000;350;442;288;2;2024,994;4049,988;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Mountain-100 Black, 44;Mountain Bikes;Bikes
SO43661;2010-12-29 00:00:00.000;215;442;288;5;20,1865;100,9325;Original Bicycle Supply Company;43;150000,00;1984;Toronto;Ontario;Canada;Sport-100 Helmet, Black;Helmets;Accessories
SO43662;2010-12-29 00:00:00.000;330;227;288;3;419,4589;1258,3767;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Red, 52;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;342;227;288;5;419,4589;2097,2945;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Black, 52;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;272;227;288;2;183,9382;367,8764;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;LL Road Frame - Red, 62;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;315;227;288;4;874,794;3499,176;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-450 Red, 58;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;262;227;288;3;183,9382;551,8146;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;LL Road Frame - Red, 44;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;326;227;288;5;419,4589;2097,2945;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Red, 44;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;332;227;288;3;419,4589;1258,3767;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Black, 58;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;338;227;288;2;419,4589;838,9178;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Black, 44;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;314;227;288;1;2146,962;2146,962;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-150 Red, 56;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;317;227;288;1;874,794;874,794;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-450 Red, 44;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;328;227;288;3;419,4589;1258,3767;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Red, 48;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;275;227;288;1;356,898;356,898;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;ML Road Frame - Red, 48;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;319;227;288;6;874,794;5248,764;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-450 Red, 52;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;270;227;288;1;183,9382;183,9382;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;LL Road Frame - Red, 60;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;253;227;288;3;178,5808;535,7424;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;LL Road Frame - Black, 58;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;310;227;288;1;2146,962;2146,962;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-150 Red, 62;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;322;227;288;3;419,4589;1258,3767;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Red, 60;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;264;227;288;1;183,9382;183,9382;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;LL Road Frame - Red, 48;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;276;227;288;1;356,898;356,898;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;ML Road Frame - Red, 52;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;285;227;288;1;178,5808;178,5808;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;LL Road Frame - Black, 52;Road Frames;Components
SO43662;2010-12-29 00:00:00.000;334;227;288;3;419,4589;1258,3767;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-650 Black, 60;Road Bikes;Bikes
SO43662;2010-12-29 00:00:00.000;316;227;288;1;874,794;874,794;Health Spa, Limited;46;150000,00;1990;Toronto;Ontario;Canada;Road-450 Red, 60;Road Bikes;Bikes
SO43663;2010-12-29 00:00:00.000;322;510;282;1;419,4589;419,4589;World Bike Discount Store;38;150000,00;1983;Trabuco Canyon;California;United States;Road-650 Red, 60;Road Bikes;Bikes
SO43664;2010-12-29 00:00:00.000;345;397;286;1;2039,994;2039,994;Capable Sales and Service;3;30000,00;1985;Seattle;Washington;United States;Mountain-100 Silver, 42;Mountain Bikes;Bikes
